code,row,col,value
phil_zip,106,15,UNKNOWN
phil_zip,121,15,unknown
phil_zip,124,15,08085
phil_zip,160,15,Non-Provid
phil_zip,191,15,UNKNOWN
phil_zip,229,15,Non-Provid
phil_zip,299,15,19046
phil_zip,318,15,unknown
phil_zip,334,15,unknown
phil_zip,344,15,DECLINED
phil_zip,382,15,Non-Reside
phil_zip,387,15,145
phil_zip,392,15,unknown
phil_zip,394,15,Non-Reside
phil_zip,401,15,Non-Provid
phil_zip,420,15,Non-Reside
phil_zip,428,15,unknown
phil_zip,429,15,unknown
phil_zip,435,15,unknown
