the_geom,lon,objectid,service_request_id,status,status_notes,service_name,service_code,agency_responsible,the_geom_webmercator,requested_datetime,updated_datetime,expected_datetime,address,zipcode,media_url,lat,service_notice
0101000020E610000033F0AB8B3ECE52C008FD8ED940F94340,-75.222567477,32,8967043,Closed,Issue Resolved,Graffiti Removal,SR-CL01,Community Life Improvement Program,0101000020110F00001E441D7A7AF15FC1586652726B885241,2015-01-11 10:45:10,2015-08-12 03:47:02,2015-01-19 19:00:00,708 S 50TH ST,19143,,39.947291562,7 Business Days
,,35,11379517,Closed,Question Answered,Information Request,SR-IR01,Register of Wills/ Orphans Court,,2017-06-19 08:41:24,2017-06-19 08:41:32,2017-06-19 09:00:12,,,,,
,,37,11379519,Closed,,Information Request,SR-IR01,Streets Department,,2017-06-19 08:41:33,2017-06-19 08:42:00,2017-06-19 09:00:12,,,,,
0101000020E6100000FD40E2EC10CA52C0823B0E8BEAF64340,-75.157283038,39,8967052,Closed,Issue Resolved,Graffiti Removal,SR-CL01,Community Life Improvement Program,0101000020110F00004F078E9E61EA5FC1222ECCB6D4855241,2015-01-11 12:15:21,2015-08-12 03:47:02,2015-01-19 19:00:00,711 TASKER ST,19147,https://d21tc4b3k3r3vo.cloudfront.net/uploads/27412/requests/54b2ab3126d8a-369.jpg,39.929032692,7 Business Days
0101000020E6100000DBD3DD8E93D052C0336E499290FC4340,-75.259006233,40,8967049,Closed,Information Provided,Graffiti Removal,SR-CL01,Community Life Improvement Program,0101000020110F00007289129070F55FC110CE09C1168C5241,2015-01-11 12:15:10,2015-08-12 03:47:02,2015-01-19 19:00:00,7223 LANSDOWNE AVE,19151,,39.973161974,7 Business Days
0101000020E6100000CF01F68F0DCA52C0145F8AFE12F74340,-75.157077775,41,8967048,Closed,Issue Resolved,Graffiti Removal,SR-CL01,Community Life Improvement Program,0101000020110F000042D330E85BEA5FC1A522F08301865241,2015-01-11 12:15:06,2015-08-12 03:47:02,2015-01-19 19:00:00,711 DICKINSON ST,19147,,39.930267155,7 Business Days
,,3469433,11817734,Closed,Question Answered,Information Request,SR-IR01,Managing Director's Office- MDO,,2018-02-12 17:01:36,2018-02-12 17:01:46,2018-02-12 17:30:13,,,,,
,,92,8997221,Closed,,Information Request,SR-IR01,Licenses & Inspections- L&I,,2015-01-30 19:15:02,2015-01-30 19:17:11,,,19111,,,None
,,93,8997222,Closed,Question Answered,Information Request,SR-IR01,Philly311 Contact Center,,2015-01-30 19:25:35,2015-02-13 06:17:03,,,,,,None
,,94,8997223,Closed,Question Answered,Information Request,SR-IR01,Philly311 Contact Center,,2015-01-30 19:29:00,2015-02-13 06:17:03,,,,,,None
,,95,8997224,Closed,Question Answered,Information Request,SR-IR01,Philly311 Contact Center,,2015-01-30 19:30:05,2015-01-30 19:30:06,,,,,,None
,,96,8997225,Closed,Question Answered,Information Request,SR-IR01,Free Library,,2015-01-30 19:30:55,2015-01-30 19:33:31,,,19141,,,None
,,97,8997226,Closed,Question Answered,Information Request,SR-IR01,Philly311 Contact Center,,2015-01-30 19:31:20,2015-01-30 19:31:21,,,,,,None
0101000020E6100000AEAFE04495CA52C08D9ED7AF26064440,-75.165360656,98,8997227,Closed,Repair Completed,Smoke Detector,SR-FD02,Fire Department,0101000020110F0000BA39226B42EB5FC1FF265403B8965241,2015-01-30 19:31:41,2015-04-03 08:59:27,2015-04-23 20:00:00,856 E RITTENHOUSE ST,19138,,40.048055629,60 Business Days
,,99,8997229,Closed,Question Answered,Information Request,SR-IR01,Philly311 Contact Center,,2015-01-30 19:35:02,2015-01-30 19:35:03,,,,,,None
,,100,8997232,Closed,Question Answered,Information Request,SR-IR01,Police Department,,2015-01-30 19:39:09,2015-01-30 19:39:09,,,19122,,,None
,,101,8997233,Closed,Question Answered,Information Request,SR-IR01,Philly311 Contact Center,,2015-01-30 19:44:56,2015-01-30 19:44:57,,,,,,None
0101000020E610000077FB07EC05CD52C03D86012AA0FA4340,-75.203486447,123,8997322,Closed,Issue Resolved,Graffiti Removal,SR-CL01,Community Life Improvement Program,0101000020110F000086CD517467EF5FC1E9F541ACF0895241,2015-01-31 17:15:44,2015-08-12 03:47:22,2015-02-09 19:00:00,16 N PRESTON ST,19104,https://d21tc4b3k3r3vo.cloudfront.net/uploads/27412/requests/54cd529229c59-369.jpg,39.958012822,7 Business Days
,,3463549,11814732,Closed,Question Answered,Information Request,SR-IR01,Philly311 Contact Center,,2018-02-09 18:34:34,2018-02-09 18:34:48,2018-02-09 19:00:39,,,,,
0101000020E61000009B25F9F8A1CD52C016653E396DFC4340,-75.213011016,128,8997328,Closed,Issue Resolved,Abandoned Vehicle,SR-PD01,Police Department,0101000020110F00002F1C9E8570F05FC16B148A94EF8B5241,2015-01-31 17:45:15,2015-08-12 03:47:22,2015-03-12 20:00:00,4500 POPLAR ST,,https://d21tc4b3k3r3vo.cloudfront.net/uploads/27412/requests/54cd5503e3cec-369.jpg,39.972083241,30 Business Days
,,102,8997234,Closed,Question Answered,Information Request,SR-IR01,Prisons,,2015-01-30 19:46:14,2015-01-30 19:46:43,,,19154,,,None
,,103,8997235,Closed,Question Answered,Information Request,SR-IR01,Department of Public Health,,2015-01-30 19:51:20,2015-01-30 19:51:56,,,19136,,,None
,,104,8997236,Closed,Question Answered,Information Request,SR-IR01,Police Department,,2015-01-30 19:51:44,2015-01-30 19:53:11,,,19148,,,None
,,105,8997237,Closed,Question Answered,Information Request,SR-IR01,,,2015-01-30 19:55:53,2015-01-30 19:56:27,,,,,,None
,,106,8997238,Closed,Question Answered,Information Request,SR-IR01,Prisons,,2015-01-30 19:56:11,2015-01-30 19:56:31,,,19150,,,None
0101000020E6100000F731EE1F6ECD52C0ACF5B0DD5EFA4340,-75.209846478,74,8967085,Closed,Issue Resolved,Graffiti Removal,SR-CL01,Community Life Improvement Program,0101000020110F00009DD0047418F05FC19C17D252A8895241,2015-01-11 17:45:30,2015-08-12 03:47:06,2015-01-19 19:00:00,115 S 44TH ST,19104,https://d21tc4b3k3r3vo.cloudfront.net/uploads/27412/requests/54b2fc4de8745-369.jpg,39.956020078,7 Business Days
,,77,11348781,Closed,,Information Request,SR-IR01,Streets Department,,2017-05-31 16:30:37,2017-05-31 16:31:13,2017-05-31 17:00:12,,,,,
,,78,11348784,Closed,Question Answered,Information Request,SR-IR01,Police Department,,2017-05-31 16:31:13,2017-05-31 16:31:24,2017-05-31 17:00:12,,,,,
0101000020E61000006FCFFB1856C652C0BD7538993CFF4340,-75.099004975,80,11343565,Closed,Question Answered,Information Request,SR-IR01,Philly311 Contact Center,0101000020110F0000C5C494BF0BE45FC17CD3E9F00C8F5241,2017-05-29 11:20:21,2017-05-31 16:32:13,2017-05-31 17:00:12,3560 TULIP ST,,,39.994036817,
,,81,11348786,Closed,,Information Request,SR-IR01,Water Department (PWD),,2017-05-31 16:31:35,2017-05-31 16:32:20,2017-05-31 17:00:12,,,,,
,,84,11348780,Closed,Question Answered,Information Request,SR-IR01,Department of Records,,2017-05-31 16:30:21,2017-05-31 16:30:41,2017-05-31 17:00:12,,,,,
0101000020E61000008C9FC6BDF9C852C0B14E95EF19FB4340,-75.140243,85,8967093,Closed,Repair Completed,Graffiti Removal,SR-CL01,Community Life Improvement Program,0101000020110F0000E099AF6587E85FC14B799399778A5241,2015-01-11 21:45:06,2015-08-12 03:47:10,2015-01-19 19:00:00,128?134 Fairmount Ave,,https://d21tc4b3k3r3vo.cloudfront.net/uploads/27412/requests/54b33108bf285-369.jpg,39.961729,7 Business Days
0101000020E6100000CD6152D7B5CE52C0EA7FB1A5E4F74340,-75.229848702,86,8967094,Closed,Issue Resolved,Graffiti Removal,SR-CL01,Community Life Improvement Program,0101000020110F00002686C81C45F25FC1A1DD56BAE9865241,2015-01-11 22:15:06,2015-08-12 03:47:08,2015-01-19 19:00:00,5801 SPRINGFIELD AVE,19143,,39.936665264,7 Business Days
0101000020E6100000C598CB7861CB52C026D6D271EFF94340,-75.177824208,3732922,11901212,Closed,,Illegal Dumping,SR-ST02,Streets Department,0101000020110F0000D74B0A479DEC5FC121C807E02C895241,2018-04-04 11:43:19,2018-04-10 06:31:12,2018-04-10 20:00:00,2221 CHESTNUT ST,,https://d17aqltn7cihbm.cloudfront.net/uploads/large_433f54befc026e62bd0077fba225d390,39.952619772,5 Business Days
,,3472819,11818950,Closed,Question Answered,Information Request,SR-IR01,Department of Records,,2018-02-13 12:02:13,2018-02-13 12:02:26,2018-02-13 12:30:15,,,,,
0101000020E6100000947210D79ECB52C040CEC9C577F84340,-75.181569826,3732923,11897919,Closed,,Rubbish/Recyclable Material Collection,SR-ST03,Streets Department,0101000020110F00006A4F838405ED5FC1E09292B28C875241,2018-04-02 17:14:38,2018-04-10 06:31:13,2018-04-04 20:00:00,933 S BONSALL ST,,,39.941155174,2 Business Days
0101000020E61000000E96FB2EF6CB52C06D82DA3542FF4340,-75.186900846,198,10871487,Closed,Issue Resolved,Abandoned Vehicle,SR-PD01,Police Department,0101000020110F000023A615E199ED5FC161F08B29138F5241,2016-08-04 10:33:32,2017-06-15 15:15:20,2016-09-19 20:00:00,3347 RIDGE AVE,,,39.994208083,30 Business Days
0101000020E6100000B266438212CB52C01EF495D52EFA4340,-75.173004694,3732924,11902303,Closed,,Illegal Dumping,SR-ST02,Streets Department,0101000020110F00006A999F2617EC5FC19AB0411B73895241,2018-04-04 16:58:47,2018-04-10 06:31:14,2018-04-11 20:00:00,JOHN F KENNEDY BLVD & N 20TH ST,,https://d17aqltn7cihbm.cloudfront.net/uploads/large_8d63cd2136331279ecc6194301629c91,39.95455427,5 Business Days
0101000020E6100000FA43756B80C252C0FE68D53AB3034440,-75.039088122,200,8997403,Closed,Issue Resolved,Abandoned Vehicle,SR-PD01,Police Department,0101000020110F00005423104588DD5FC140A03EF8FF935241,2015-02-01 12:45:08,2015-08-12 03:47:32,2015-03-12 20:00:00,7104 MARSDEN ST,,,40.028907161,30 Business Days
,,203,11363460,Closed,,Information Request,SR-IR01,Streets Department,,2017-06-08 16:30:26,2017-06-08 16:30:33,2017-06-08 17:00:12,,,,,
0101000020E61000003892BA5370C252C066751F3E38054440,-75.038105897,164,9059973,Closed,,Street Light Outage,SR-ST04,Streets Department,0101000020110F00003ECE49EF6CDD5FC149EB597BAF955241,2015-03-09 08:45:16,2017-05-31 21:04:29,2015-03-23 20:00:00,3414 SHELMIRE AVE,,,40.040778888,10 Business Days
,,3467981,11816732,Closed,Question Answered,Information Request,SR-IR01,First Judicial District/Courts,,2018-02-12 13:00:05,2018-02-12 13:00:25,2018-02-12 13:30:08,,,,,
0101000020E6100000B2B0D09CEFC652C054A4CA498BFE4340,-75.108374785,165,8997300,Closed,Issue Resolved,Abandoned Vehicle,SR-PD01,Police Department,0101000020110F00008ABA4C8210E55FC11C749A62488E5241,2015-01-31 14:15:10,2015-08-12 03:47:17,2015-03-12 20:00:00,3144 AGATE ST,,https://d21tc4b3k3r3vo.cloudfront.net/uploads/27412/requests/54cd282ed6307-369.jpg,39.988625745,30 Business Days
0101000020E610000030BBE5F2B8C252C04DA4B06223044440,-75.042538376,3464104,11806035,Closed,,Illegal Dumping,SR-ST02,Streets Department,0101000020110F00005D4B424AE8DD5FC19317DF5E7C945241,2018-02-05 10:03:05,2018-02-10 07:15:43,2018-02-11 19:00:00,PRINCETON AVE & WALKER ST,,https://d17aqltn7cihbm.cloudfront.net/uploads/large_d02379cdf79c6a33e93339092d30b02f,40.032329879,5 Business Days
0101000020E61000001F97DD38CECA52C00345C9379D064440,-75.168836802,3464105,11807111,Closed,,Illegal Dumping,SR-ST02,Streets Department,0101000020110F000040D7B528A3EB5FC1DC7ABC853B975241,2018-02-05 15:02:33,2018-02-10 07:15:44,2018-02-12 19:00:00,6125 BOYER ST,,https://d17aqltn7cihbm.cloudfront.net/uploads/large_5d8fc7776852fe3e65834aea10d81c47,40.051672907,5 Business Days
0101000020E61000000E92D3111FC652C017E8039781024440,-75.095646343,110,8997242,Closed,Issue Resolved,Abandoned Vehicle,SR-PD01,Police Department,0101000020110F000009882047AEE35FC13955D9FDAC925241,2015-01-30 20:45:21,2015-08-12 03:47:08,2015-03-12 20:00:00,900 ORTHODOX ST,,,40.019579769,30 Business Days
0101000020E6100000E4B3869C48CB52C07395B403AAF44340,-75.176306848,111,8997243,Closed,Issue Resolved,Abandoned Vehicle,SR-PD01,Police Department,0101000020110F00006B4EB00C73EC5FC10253914556835241,2015-01-30 20:45:25,2015-08-12 03:47:08,2015-03-12 20:00:00,1620 CROATAN PL,,,39.911438431,30 Business Days
0101000020E61000007D98F71785CD52C0D76474DD67FA4340,-75.211248386,50,8967080,Closed,Issue Resolved,Graffiti Removal,SR-CL01,Community Life Improvement Program,0101000020110F00003456DA773FF05FC1DC4F534BB2895241,2015-01-11 17:45:10,2015-08-12 03:47:06,2015-01-19 19:00:00,4439 IONIC ST,19104,https://d21tc4b3k3r3vo.cloudfront.net/uploads/27412/requests/54b2f96243ca8-369.jpg,39.956294709,7 Business Days
0101000020E610000054988C9D8FCD52C0A118D5F922FA4340,-75.211890592,51,8967081,Closed,Issue Resolved,Graffiti Removal,SR-CL01,Community Life Improvement Program,0101000020110F00000F4A2C5751F05FC10BBFD0F765895241,2015-01-11 17:45:14,2015-08-12 03:47:06,2015-01-19 19:00:00,229 S 45TH ST,19104,https://d21tc4b3k3r3vo.cloudfront.net/uploads/27412/requests/54b2fa5beaebc-369.jpg,39.954192378,7 Business Days
0101000020E6100000B8FD971098C952C0EEE5C271AE084440,-75.149906299,55,8997258,Closed,,Vacant House or Commercial,SR-LI27,License & Inspections,0101000020110F00009DCD5B5394E95FC18BE9E7C786995241,2015-01-30 22:45:12,2015-08-12 03:47:10,2015-02-26 19:00:00,1986 STERLING ST,,,40.067823624,20 Business Days
0101000020E61000006794366E14C252C0DDD28B56C5054440,-75.032496978,58,8997261,Closed,Question Answered,Information Request,SR-IR01,Philly311 Contact Center,0101000020110F0000EC2DD5D6D0DC5FC11E53A6024C965241,2015-01-31 06:45:06,2015-08-12 03:47:10,,3300 DECATUR ST,,,40.045084775,None
0101000020E610000076DB4B3BB1CA52C0A383601B92F84340,-75.167067357,137,8997338,Closed,,Vacant House or Commercial,SR-LI27,License & Inspections,0101000020110F000043976DEA71EB5FC108DF77DEA9875241,2015-01-31 18:45:06,2015-08-12 03:47:22,2015-02-26 19:00:00,1425 FITZWATER ST,,,39.941958833,20 Business Days
